,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.581802,0.2435756,1.8729517,1.8206425,3.7565553,0.14163515,2.7100718,2.3964329
1,8.727356,0.2250793,1.8729428,1.8583746,4.4182286,0.15097556,2.7100618,2.1312587
2,8.93078,0.2336117,1.8729367,1.8065319,4.0929484,0.15309,2.7100706,2.0595334
3,9.595151,0.2133095,1.8729457,1.6481227,4.5049872,0.13982809,2.7100809,2.214074
4,10.95295,0.25383452,1.872938,1.5297894,3.4962463,0.14293055,2.7100751,2.317356
5,6.2391386,0.18903016,1.8729386,1.919776,3.0596201,0.11372852,2.7100654,2.1961
6,9.722392,0.23777738,1.8729345,1.6763736,4.5352306,0.1657456,2.710047,2.0207698
7,10.176576,0.23973283,1.8729126,1.6323502,4.120046,0.14873844,2.7100587,2.2455797
8,6.773381,0.19694659,1.8729161,2.4413784,3.3023891,0.1250324,2.710033,2.2373326
9,8.681565,0.25010863,1.8729126,1.9953203,3.583534,0.14098482,2.7099547,2.390181
10,9.415324,0.25245413,1.872908,1.7168298,4.383115,0.16369557,2.7099357,2.0391583
11,7.558093,0.22288801,1.8728949,2.0976026,4.169667,0.15044439,2.70993,2.119598
12,11.077666,0.24388942,1.8728937,1.471691,4.636319,0.15561387,2.7098312,2.07219
13,9.068697,0.2446228,1.8728939,1.8715498,3.8947158,0.14876707,2.7098024,2.260649
14,8.033264,0.243556,1.8728809,2.1413584,3.8414621,0.14736731,2.709806,2.2225964
15,8.522643,0.21003902,1.8728695,1.6943059,3.9852877,0.1272119,2.709824,2.116477
16,8.199188,0.23496073,1.8728855,2.094161,4.1465254,0.14530009,2.7098904,2.182156
17,8.366157,0.26013583,1.8728881,1.9631473,4.03377,0.14428554,2.7099144,2.320116
18,9.81384,0.26393926,1.8728881,1.7073923,3.9443057,0.1612542,2.7099686,2.1466155
19,8.86957,0.26858032,1.8728825,1.8544836,3.866893,0.15380582,2.709986,2.1655767
20,8.769074,0.21263276,1.872885,1.8059423,3.5217638,0.12736471,2.709998,2.369387
21,7.328007,0.20448267,1.872897,2.2722008,3.36481,0.1267355,2.71001,2.294787
22,10.172546,0.24405108,1.8728926,1.6964215,3.8798225,0.15145096,2.7100286,2.2318118
23,9.597758,0.25108245,1.872889,1.7950037,4.3497634,0.157599,2.7100785,2.072856
24,7.581374,0.22367662,1.8728775,2.0751297,4.023792,0.14346817,2.7101364,2.2187762
25,8.51536,0.24162744,1.8728768,1.8621217,4.1212654,0.15165198,2.710096,2.2161021
26,7.9919734,0.20454454,1.8728667,1.7241935,3.949924,0.13243942,2.7100906,2.0793142
27,9.492035,0.27044147,1.8728642,1.7794962,3.8667572,0.14418736,2.7100604,2.2667089
28,10.163601,0.25106278,1.8728616,1.6436751,3.7469513,0.15004113,2.7100904,2.2901511
29,11.406253,0.29962254,1.8728584,1.3688432,4.133024,0.16233952,2.7101176,2.3044484
30,7.7123346,0.20432484,1.8728456,2.0231886,3.594177,0.13075185,2.71011,2.1962276
