,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.291563,0.29829168,1.7093107,2.0506973,4.076957,0.19582632,2.7040105,2.0127087
1,9.686839,0.29559076,1.709318,1.8943036,4.5224357,0.20619419,2.7039926,1.9466696
2,8.379572,0.27309522,1.7093083,2.0384343,4.3269386,0.1723559,2.7039883,1.9417392
3,12.237119,0.33853093,1.7093174,1.4127368,5.136809,0.23753932,2.703979,1.8346807
4,6.8545594,0.25651768,1.7093003,1.8975744,3.7243054,0.16430564,2.7040145,2.147517
5,8.033388,0.26607546,1.7092862,1.8612547,4.606797,0.18641284,2.7040305,1.9055603
6,8.312024,0.30778396,1.7092791,2.3326464,3.8764236,0.18135189,2.7040627,2.0518832
7,10.979065,0.31674337,1.7092996,1.8802311,4.8312535,0.19887756,2.7040422,1.8959612
8,9.737326,0.32741678,1.7093084,1.827719,4.4264803,0.20899534,2.7040265,2.0381048
9,9.778468,0.27997702,1.7093142,1.6559712,4.698418,0.19064854,2.7040248,1.8004094
10,9.100826,0.30030426,1.7093368,1.8750432,4.4030647,0.20252076,2.704056,1.9970725
11,8.746109,0.29651928,1.7093457,2.1863935,4.375567,0.19411187,2.703989,2.0647953
12,11.911839,0.3214509,1.7093425,1.4946237,5.5115867,0.23428626,2.7040257,1.7421275
13,9.096413,0.29536873,1.709335,2.2584314,4.617287,0.19432718,2.7040775,1.8795543
14,8.679666,0.27545014,1.7093364,1.9900055,4.742137,0.19065456,2.7040653,1.8647568
15,11.0925665,0.3496421,1.7093376,1.5722433,5.049491,0.23152824,2.7041492,1.8799247
16,10.294368,0.29268757,1.7093309,1.8231559,4.6939845,0.20799716,2.704213,1.7870837
17,10.504148,0.30245572,1.7093365,1.6800647,5.3091273,0.21578912,2.7042327,1.7980375
18,11.278739,0.3168364,1.7093537,1.632075,4.975343,0.2084268,2.7042031,1.7457122
19,11.883687,0.32723773,1.7093656,1.554429,4.9771276,0.22335234,2.7042089,1.8529929
20,13.119723,0.30492982,1.7093683,1.3988678,5.0462685,0.22154307,2.704168,1.784978
21,9.459869,0.30933672,1.7093481,2.021641,4.5357485,0.21175817,2.704205,1.9211032
22,7.4552026,0.27433106,1.7093272,2.278895,3.513457,0.16905394,2.7042334,2.0111182
23,10.037961,0.30901876,1.7093397,1.8654617,5.38455,0.21291845,2.7042356,1.7422844
24,9.266235,0.2893304,1.7093514,2.114978,5.017954,0.19823265,2.7042615,1.8392695
25,7.3997693,0.26322666,1.7093589,1.8741423,4.865055,0.18538086,2.7042668,1.7576197
26,9.972475,0.2980144,1.7093766,1.6477765,4.794476,0.20516929,2.704266,1.8159944
27,8.343087,0.27438244,1.7093754,1.7531828,4.793825,0.19389683,2.7042546,1.807163
28,8.882757,0.29535937,1.709373,2.0923114,4.3672147,0.19580014,2.7042491,2.052473
29,11.683935,0.36354044,1.7093594,1.4962105,5.2054906,0.23483944,2.704266,1.8398371
30,10.444011,0.3262827,1.7093602,1.8472011,4.2573476,0.20896573,2.7042685,1.9239674
31,11.763018,0.29930216,1.7093471,1.5957837,5.279514,0.21732888,2.7042425,1.8024107
32,7.636785,0.26366088,1.7093525,1.8691067,3.7599034,0.16215687,2.7042534,2.0044155
33,10.14229,0.29647496,1.7093586,1.7195556,4.6556253,0.19883966,2.7042663,1.9125361
34,12.352929,0.31570983,1.7093599,1.4760448,4.767413,0.21269195,2.7043357,1.8705316
35,10.818555,0.3238551,1.7093557,1.8112652,4.643478,0.20955701,2.7043252,1.8672601
36,7.2290792,0.27879155,1.7093501,2.4936023,4.0799193,0.1857344,2.7043068,1.9490095
37,9.934798,0.31543398,1.709339,2.0163395,5.0576267,0.22030577,2.7043247,1.8220477
38,10.844532,0.31910747,1.7093406,1.6554315,4.7702694,0.21392827,2.704308,1.8490433
39,10.011429,0.30026737,1.7093139,1.9654485,4.7418976,0.19212535,2.7043374,1.912179
40,9.503306,0.28133792,1.7093034,1.9259616,4.66057,0.18947043,2.7043478,1.8931264
41,8.719704,0.27899373,1.709304,2.00547,3.67626,0.1868202,2.704342,2.136872
42,8.807005,0.29228914,1.7093272,2.2131813,3.7650554,0.17906202,2.7042825,1.9901541
43,8.48336,0.27511325,1.7093152,1.7484195,4.5890436,0.19068328,2.7043517,1.9270386
44,10.0378275,0.30448052,1.7093207,1.8383219,5.1246862,0.19869387,2.704353,1.8213793
45,9.4470005,0.29425365,1.7093194,2.0854907,4.4127016,0.20936222,2.7043774,1.8979064
46,9.602044,0.29968187,1.7093292,2.0323067,5.249313,0.21256152,2.704344,1.7421876
47,8.07022,0.28600675,1.7093253,2.4135232,3.6379912,0.17536774,2.7043517,2.0828238
48,7.763429,0.26721716,1.7093102,1.8355912,4.753744,0.19304049,2.7043412,1.8788638
49,7.865512,0.29787463,1.7093108,2.2095966,4.3911123,0.19229507,2.7043312,1.8952383
50,9.598383,0.30145267,1.709308,2.0178008,4.8835287,0.21297643,2.7043502,1.8912989
51,10.159881,0.30971017,1.7093136,1.7839515,4.224352,0.20960328,2.7044232,1.97049
52,10.218351,0.28366292,1.7093214,1.6936702,4.0296984,0.19125828,2.7044547,2.0081806
53,7.8223,0.28295678,1.709327,2.2770255,4.3397703,0.18139914,2.7044392,2.0761225
54,9.001043,0.30307424,1.7093481,1.8914906,4.419964,0.21358895,2.7044015,1.8745084
55,7.894013,0.27714777,1.70934,2.4268587,3.7743094,0.17739066,2.7043874,1.9996115
56,11.071603,0.30282202,1.7093456,1.6926831,5.2325563,0.21687236,2.7043915,1.7671092
57,10.434311,0.33144006,1.7093422,1.7417235,4.9398503,0.20648444,2.7043657,1.9034699
58,9.650509,0.3100825,1.7093308,1.9920741,4.1017923,0.1978863,2.70442,2.072439
59,9.489456,0.29632315,1.7093369,2.026319,4.6640925,0.21124645,2.7044017,1.9548945
60,7.400971,0.28204903,1.7093484,2.5274637,3.8358867,0.18426968,2.7043543,1.961961
61,10.682025,0.3262814,1.709357,1.6942533,5.0298586,0.2411027,2.70435,1.78302
62,10.687315,0.2940745,1.7093582,1.6658872,5.269261,0.21463546,2.704337,1.8467481
63,12.430048,0.3283017,1.7093916,1.5138075,4.8986526,0.24145193,2.7043467,1.7827791
64,8.24241,0.26925915,1.7093971,1.8140016,4.365911,0.17558077,2.7042887,1.8601576
65,8.611644,0.27111283,1.709403,1.7258939,4.951072,0.18833956,2.7043157,1.8439776
66,9.815087,0.32334498,1.7094016,1.813404,4.5971394,0.21279168,2.7043965,1.9729667
67,10.656742,0.30248734,1.7093992,1.6620518,5.060349,0.22760215,2.7043908,1.7432107
68,9.494361,0.3007948,1.7093778,2.0825658,4.3347197,0.20825692,2.7044487,1.9111083
69,13.388606,0.3662855,1.7093744,1.2118293,4.8824887,0.240702,2.7044566,1.8265405
70,11.828114,0.34463426,1.7093679,1.5567629,4.6842575,0.24653411,2.704461,1.772438
71,11.082734,0.33254263,1.7093629,1.5190883,5.0195775,0.23253927,2.7044172,1.7881521
72,8.938738,0.29848143,1.7093617,2.0810373,4.099016,0.1866738,2.7044258,2.0269375
73,10.469763,0.31278062,1.7093714,1.7915351,5.740052,0.22663589,2.7043774,1.7208356
74,9.410206,0.28713232,1.7093737,1.6644583,4.5955925,0.19656265,2.7043495,1.8626616
75,8.241668,0.27757108,1.7093859,1.7394785,4.249994,0.18013526,2.704402,1.9367887
