,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,8.381599,0.106747515,1.9744357,1.8971739,2.8435223,0.04885709,2.6508384,1.8460994
1,9.11706,0.10706531,1.9744449,1.663788,3.354955,0.049749274,2.6508224,1.6303043
2,8.528458,0.10722186,1.9744157,2.045645,2.9657218,0.04889883,2.6508052,1.8429073
3,10.357118,0.108706415,1.9744099,1.590251,3.2790396,0.04987903,2.650787,1.6414804
4,8.008807,0.10525032,1.9744251,2.0644112,2.3394575,0.048149038,2.650753,1.9186482
5,9.409194,0.106877334,1.9744412,1.7196972,3.3502812,0.049092144,2.650758,1.6697911
6,9.693223,0.10687429,1.9744533,1.6187867,3.3666675,0.049190164,2.6507664,1.6861994
7,5.784703,0.103928834,1.9744664,2.4499302,2.2820978,0.047738772,2.6507921,1.9623257
8,9.31459,0.10706906,1.9744699,1.7087059,3.506951,0.048650544,2.6507578,1.6538459
9,9.961409,0.10603165,1.9744605,1.6419655,3.6974094,0.048641514,2.6507466,1.6447256
10,8.137997,0.10387275,1.9745122,1.8148685,2.6720867,0.048013955,2.6507654,1.7389443
11,8.739501,0.10683783,1.9745193,2.1276038,3.1167114,0.04905232,2.6507869,1.8201944
12,8.8028145,0.10442875,1.9745317,1.7771028,2.685749,0.048626214,2.6508055,1.6769284
13,10.157963,0.10844535,1.9745198,1.6463624,3.8782578,0.050455052,2.6507635,1.5615146
14,8.653722,0.10918412,1.9745352,1.9056792,3.2625427,0.050295085,2.6507406,1.7444185
15,8.291824,0.107900396,1.9745133,1.8588405,3.5048048,0.05034534,2.6507397,1.7461215
16,7.3519163,0.1044486,1.9745306,2.1792386,2.809553,0.0481503,2.650734,1.825442
17,7.63383,0.10423886,1.9745207,1.738113,1.8520787,0.04786233,2.6507897,1.9702886
18,9.937382,0.10766438,1.974494,1.6102087,3.8646483,0.049992822,2.6508272,1.4791216
19,9.497358,0.10500077,1.9744922,1.878375,3.6242604,0.047744144,2.6508174,1.773842
20,8.611239,0.10761512,1.9744827,1.99829,3.549482,0.050254982,2.650807,1.7801068
21,8.329511,0.104454756,1.9744549,1.9911617,2.417476,0.048475694,2.6508758,1.8519486
22,8.962497,0.1036616,1.9744623,1.909817,2.8525648,0.048563916,2.650882,1.7018051
23,8.398953,0.10571473,1.9744791,1.8225973,3.0343409,0.048950426,2.6508572,1.8327663
24,9.425755,0.10582666,1.974521,1.7540371,3.4101365,0.04880649,2.650859,1.6474743
25,6.99279,0.10490896,1.9745413,2.0612984,2.2818174,0.048321966,2.6508899,2.035366
26,8.822657,0.10788947,1.974562,1.7313262,3.4033172,0.04972743,2.6509075,1.6978996
27,8.0211735,0.10630314,1.9745951,2.0586898,2.285171,0.04842974,2.6509252,1.9021128
28,8.8327465,0.103178844,1.9746003,1.8885264,3.2446117,0.04816165,2.650965,1.7984315
29,6.9675617,0.104080774,1.9745973,1.8846925,1.6189696,0.048146266,2.6509244,1.9891956
30,6.8076015,0.1074603,1.9746292,2.160231,2.6551986,0.049971938,2.6509418,2.0195315
31,6.719599,0.106241226,1.974638,2.267663,2.8379972,0.049436964,2.650975,2.0078433
32,8.223948,0.10771866,1.9746177,2.0883367,3.251695,0.049161475,2.6510122,1.8148667
33,8.344219,0.10620305,1.9746141,2.034728,2.738227,0.04907611,2.6509757,1.7494973
34,8.475779,0.110567786,1.9746568,2.1154006,2.5345685,0.05054884,2.6509748,1.7906156
35,7.8743467,0.1039476,1.9746443,1.8166047,1.8846092,0.047533683,2.6510112,1.9937032
36,6.716503,0.10397366,1.9746655,1.8282437,1.8072178,0.047929056,2.651014,2.0870547
37,6.6905165,0.10438901,1.9746786,1.8758439,1.4069241,0.048728444,2.6510282,2.0611787
38,8.392627,0.10827475,1.9746716,1.87945,3.1302836,0.04968112,2.6510286,1.6727551
39,8.022076,0.105102435,1.9746691,2.1353252,3.2879686,0.048597265,2.6510572,1.7978637
40,7.7252264,0.10450849,1.974695,1.7786975,1.9362643,0.04802507,2.6510477,1.8595582
41,8.546505,0.106376156,1.9746531,1.8744515,2.5900333,0.049403466,2.651045,1.6799247
42,8.169232,0.108121336,1.9746367,2.0544887,2.8415897,0.049597986,2.6510813,1.6973289
43,9.076387,0.10868703,1.97463,1.6839252,3.373589,0.050882272,2.651078,1.6554868
44,8.801297,0.1098108,1.97459,1.9148487,3.2831564,0.05120468,2.651065,1.660137
45,8.327306,0.10500172,1.9745709,1.8619741,2.852391,0.04892662,2.6510618,1.7831337
46,9.0281,0.10510401,1.9745554,1.7466003,3.6597114,0.048940204,2.6510606,1.7818072
47,7.602054,0.10375191,1.9745927,1.7825913,1.9999164,0.048629556,2.651054,1.8477181
48,8.63828,0.105520904,1.9746109,1.9762785,2.6825762,0.04954084,2.6510623,1.7798634
49,10.28973,0.10912935,1.9746625,1.5994555,3.3829715,0.05096668,2.6510603,1.7076682
50,10.058832,0.10716927,1.9746884,1.5179058,3.607668,0.049878173,2.6510894,1.5916378
51,8.790322,0.1068392,1.9746329,1.8734777,3.3123112,0.0493989,2.6511245,1.7882712
52,8.352843,0.10764478,1.974612,1.9345068,2.8880656,0.04968571,2.6511168,1.748241
53,7.9408197,0.109138474,1.974577,2.020462,2.958564,0.050057895,2.6511328,1.7840056
54,9.436864,0.10932249,1.9746078,1.7761303,3.7638593,0.05044387,2.651113,1.6337589
55,10.270556,0.106784284,1.9746385,1.7887765,4.130734,0.049303196,2.6511145,1.7582527
56,8.878655,0.106380984,1.9746358,1.8640188,3.0075634,0.049807973,2.651129,1.8377322
57,8.2945385,0.10811866,1.9746116,1.6532998,2.477623,0.050616212,2.6511354,1.700623
58,7.993768,0.10675509,1.974621,2.1340117,3.234933,0.05017654,2.6511085,1.7655677
59,9.438659,0.106900476,1.974661,1.7721556,3.2359464,0.050090116,2.6511319,1.6874615
60,6.7431993,0.10393127,1.9746339,2.2400403,2.4418416,0.048111316,2.6511679,2.070693
61,9.966368,0.10829951,1.9746568,1.611269,3.5306313,0.050688863,2.65117,1.6540952
62,11.52533,0.10769921,1.9746494,1.3667387,3.480036,0.05054288,2.6511967,1.4752237
63,9.080289,0.10798882,1.9746267,1.9269595,2.944166,0.05049222,2.651203,1.7007157
64,8.534561,0.10987375,1.9746389,1.9573073,2.9411366,0.051297653,2.6512072,1.8623663
65,8.464029,0.106075495,1.9746549,1.6624727,2.4784749,0.04974873,2.6512318,1.7264664
66,8.100404,0.10770205,1.9746566,2.0108657,3.5568566,0.050415866,2.6512737,1.7605271
67,7.044709,0.10746243,1.9746534,2.2327585,2.5072148,0.04923435,2.651296,2.0603116
68,8.871111,0.10829976,1.9746537,1.9153402,3.36803,0.050058722,2.6512804,1.7197951
69,8.716087,0.109648325,1.9746448,1.9042844,3.0729995,0.050909568,2.6512842,1.7482712
70,9.9412565,0.10978595,1.9746586,1.7861571,3.4469244,0.050907403,2.6513188,1.7018487
71,9.20822,0.106734395,1.9746413,1.886938,3.765933,0.050636075,2.6513267,1.6835523
72,9.213332,0.10881745,1.9746394,1.8225329,3.2479932,0.051070113,2.651315,1.8290204
73,10.334449,0.107850015,1.9745891,1.4960202,3.3848643,0.050212074,2.6513371,1.5696553
74,10.034037,0.11045614,1.9745836,1.5774239,4.167505,0.052580815,2.6512916,1.5691047
75,7.9869595,0.10605754,1.9746133,1.9891661,2.8784316,0.049498767,2.6513455,1.9490045
76,8.276847,0.10645074,1.9746381,2.0009027,2.7310588,0.04903849,2.6513536,1.6730739
77,9.1352415,0.107131794,1.9746104,1.8047776,3.0755973,0.050759114,2.6513822,1.8692024
78,7.854676,0.106124334,1.9746106,1.8833599,2.3418667,0.04945176,2.6513474,1.9315907
79,8.573911,0.10482884,1.974593,1.8995396,2.302862,0.04899315,2.651353,1.8661162
80,11.150457,0.10937742,1.974588,1.4235251,4.616115,0.052091457,2.6513853,1.4959242
81,6.655572,0.10886813,1.97458,1.8694454,1.4355246,0.050550014,2.6513858,2.0892193
82,7.01776,0.10875003,1.9745598,1.8121635,1.6820881,0.051228654,2.6513984,2.0429833
83,8.607444,0.10633264,1.9745529,1.7712476,3.5536027,0.050572466,2.6514165,1.6915973
84,8.927844,0.10946083,1.9745648,1.7930142,3.7142034,0.051936574,2.651414,1.7620813
85,8.037006,0.107586294,1.9745128,1.9574733,2.5687864,0.049924567,2.6514263,1.9518982
86,10.811833,0.10990013,1.9744822,1.4008989,4.782207,0.053088963,2.6514564,1.4703202
87,9.915663,0.10737062,1.9744649,1.7222726,3.422163,0.05087462,2.6514814,1.7508633
88,9.81096,0.11143703,1.9744871,1.5611618,4.669931,0.053331055,2.6515062,1.4812027
89,6.5449514,0.10814069,1.9744871,1.8817902,1.8645036,0.050479144,2.6515045,1.9544388
90,8.230752,0.10691147,1.9744794,1.6630139,2.2693372,0.050252777,2.6515515,1.7116325
91,10.304178,0.10782268,1.9744357,1.6615968,3.2197714,0.051256854,2.651557,1.544699
92,7.6118674,0.10906059,1.9744316,2.02322,3.145436,0.051543266,2.651592,1.8075165
93,10.820375,0.1089849,1.9743873,1.4486256,4.734137,0.052610017,2.6515975,1.4170269
94,9.53084,0.11049026,1.9743538,1.6903381,3.8126788,0.05234022,2.6516523,1.5939164
95,9.521727,0.10899901,1.9743431,1.7129562,3.1105826,0.051707257,2.651713,1.6360557
96,8.934197,0.1079051,1.9743148,1.6497688,3.4553294,0.0509079,2.6517086,1.5795174
97,6.755398,0.10736543,1.9743297,2.1091359,2.5146444,0.051783092,2.6517184,1.904372
98,10.990849,0.111070566,1.9743106,1.5486093,3.6995504,0.05285882,2.6517425,1.5236979
99,9.89811,0.11010983,1.9742529,1.6806767,3.6100326,0.052490305,2.6517684,1.681825
100,8.035745,0.10579497,1.9742494,1.9551728,2.9792297,0.050143756,2.651773,1.7509649
101,9.8592825,0.108374625,1.9742318,1.6323497,3.3245351,0.051321507,2.651784,1.649732
102,8.825873,0.10934665,1.9742187,1.8946651,3.0545018,0.052025445,2.6518164,1.7782354
