,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,9.1224165,0.072994135,1.8180945,1.6932975,2.4612648,0.019739721,2.7524567,2.6420553
1,8.043305,0.07473064,1.8181025,2.1172252,2.357926,0.019972336,2.7524493,2.530175
2,7.548376,0.07602406,1.8180971,2.252454,2.4182398,0.020291122,2.7524319,2.673479
3,7.3104606,0.07158059,1.8180925,2.2044737,2.009339,0.019637085,2.7524366,2.8321862
4,6.701021,0.07499975,1.8180889,2.2617183,2.2461298,0.020429445,2.75243,2.8363042
5,8.960547,0.0743804,1.8180745,1.7467839,2.5221107,0.020097775,2.7524405,2.6441014
6,8.847604,0.073184095,1.8180728,1.9043736,2.5089278,0.019866578,2.7524655,2.4936137
7,8.288657,0.075068645,1.8180681,1.9089326,2.139951,0.020241205,2.7524338,2.6568553
8,8.036352,0.07269422,1.8180817,1.915307,2.7125092,0.020016465,2.752436,2.4564743
9,9.646204,0.07448607,1.8180816,1.7338079,2.3801396,0.019864818,2.752448,2.844498
10,9.005912,0.073682554,1.8180822,1.7769871,2.5131385,0.020275569,2.7524574,2.4632778
11,9.412942,0.07130061,1.8180828,1.8434372,2.5647752,0.019709168,2.7524285,2.8434124
12,8.386882,0.07257716,1.8180846,1.916603,2.810024,0.019808378,2.7524316,2.481518
13,8.687746,0.074043825,1.8180751,1.8383733,2.354214,0.020425653,2.752429,2.4931896
14,10.640302,0.073550984,1.8180933,1.4889439,2.8195972,0.020070104,2.7524288,2.4880795
15,11.170969,0.07395031,1.8180875,1.3936689,2.6962404,0.020021403,2.7524238,2.6479557
16,7.9538245,0.07694903,1.8181005,2.186671,2.5085,0.020290714,2.7524571,2.3670347
17,7.209086,0.07217779,1.8181009,2.1481738,1.7560611,0.020250747,2.7524312,2.9535232
18,10.296193,0.071990535,1.8181064,1.6317364,3.2353203,0.019506512,2.7524137,2.6697485
19,10.193392,0.074673615,1.8180971,1.6370525,2.4976993,0.020376975,2.752427,2.5273995
20,8.869981,0.07220164,1.8180923,1.8495362,3.0786445,0.01967312,2.7524056,2.4266994
21,9.784164,0.0727695,1.8180995,1.74398,2.9709406,0.01979262,2.752415,2.356075
22,8.685541,0.07260629,1.8180965,1.9695328,2.6093855,0.019878548,2.7524219,2.7742362
23,10.687465,0.07367743,1.818105,1.5138402,3.4964461,0.020088099,2.7524133,2.3011706
24,9.722714,0.07368542,1.818107,1.6397494,2.8216875,0.019949203,2.7523978,2.4542704
25,10.064086,0.07343162,1.8181009,1.688694,2.8704798,0.019794125,2.75239,2.6742015
26,9.5385,0.07323002,1.8181072,1.8185499,2.9804103,0.020395774,2.7523816,2.391004
27,6.8210397,0.07552755,1.818116,2.2373462,1.6622647,0.020683652,2.7523682,2.97155
28,7.187449,0.07147224,1.8181062,1.8373485,1.9036937,0.019891415,2.7523847,2.775104
29,6.9789186,0.07448284,1.818109,2.1571414,2.222492,0.020495621,2.7524016,2.5143864
30,7.2132354,0.074582174,1.8181076,2.437223,1.8535119,0.02000083,2.7523696,2.652335
31,7.1701274,0.07533283,1.8181049,2.029623,2.048006,0.020540651,2.7523851,2.5746222
32,9.635668,0.07212136,1.8181008,1.561176,2.3071258,0.0195741,2.7524056,2.8056378
33,9.136058,0.07403526,1.8181053,1.8040751,2.4515216,0.020008676,2.7523808,2.3898375
34,9.226272,0.07241844,1.8180965,1.7806634,2.3229334,0.020029636,2.752378,2.7361398
35,9.037601,0.073595196,1.8180863,2.0875206,2.0653708,0.01992255,2.752378,2.7471712
36,8.736869,0.07204624,1.8180832,1.8208725,2.6289566,0.019944675,2.7523668,2.6574888
37,7.7930202,0.07355345,1.8180773,1.7019223,2.6809115,0.020008888,2.752357,2.3618999
38,6.1197915,0.07359884,1.8180734,2.4519935,1.9306498,0.02030476,2.7523682,2.7189074
39,7.9564013,0.07332148,1.8180704,1.6864396,2.5221796,0.020003082,2.7523663,2.270075
40,10.893563,0.07179256,1.8180754,1.61095,2.9792361,0.01973695,2.7523866,2.8562253
41,7.0985327,0.07217468,1.818069,2.0242853,1.801602,0.019946745,2.7523835,2.6721244
42,8.88762,0.07060742,1.8180823,1.9045194,2.2187543,0.019349452,2.7523773,2.800746
43,7.663491,0.07295665,1.8180884,1.796374,2.7088594,0.01993876,2.7523685,2.280822
44,9.753252,0.07436564,1.818073,1.5987953,2.5814204,0.020143453,2.7523565,2.58051
45,10.424328,0.07441414,1.8180696,1.4863449,3.281987,0.02014342,2.7523515,2.358141
46,10.312134,0.07440869,1.8180698,1.6351411,2.693284,0.020167734,2.752371,2.7030613
47,6.9930215,0.073734075,1.8180754,2.43537,1.940395,0.019840434,2.7523723,3.1245492
48,9.807499,0.07739838,1.8180795,1.8316429,2.682156,0.020719979,2.7523746,2.4734411
49,11.264447,0.07654399,1.8180761,1.3965743,2.824066,0.02056583,2.75236,2.5101607
50,10.052489,0.074893236,1.8180777,1.5563931,2.42494,0.020196874,2.7523525,2.6604095
51,8.876526,0.07042259,1.8180821,1.9507931,2.2320333,0.019598404,2.7523496,2.4908726
52,9.215447,0.07155053,1.818084,2.0177736,2.3074741,0.019326326,2.7523746,2.551108
53,9.524843,0.074425906,1.8180797,1.712962,2.1714904,0.020070268,2.7523937,2.7882528
54,8.606897,0.073490515,1.8180625,1.9316882,2.3753932,0.019890245,2.7524006,2.7731123
55,8.322431,0.07382082,1.8180606,1.8890691,2.8076334,0.020018777,2.7523868,2.4580393
56,6.331824,0.075409465,1.8180552,2.0898037,1.6929734,0.02019395,2.7523825,2.6913414
57,10.21846,0.07433929,1.8180488,1.5134957,3.0838726,0.020001154,2.7523658,2.5118585
58,8.582054,0.07189107,1.8180478,1.8595299,2.1265395,0.020017965,2.7523642,2.9166386
59,7.5594535,0.07226111,1.8180476,2.1354897,2.2692358,0.01975092,2.7523768,2.8357117
60,7.340535,0.07555562,1.8180485,2.3198488,1.9998171,0.02022745,2.7523687,2.573802
61,8.520227,0.07469074,1.8180492,1.9792459,2.5723133,0.020266855,2.7523577,2.455937
62,10.047993,0.07289708,1.8180443,1.7028302,2.7668056,0.019653268,2.7523756,2.4337885
63,8.932863,0.074713945,1.8180487,1.8478578,2.5893612,0.02016612,2.752365,2.5236735
64,8.066929,0.07739363,1.8180333,2.0117586,1.8071092,0.02095307,2.752337,3.0311456
65,8.379842,0.07350648,1.8180399,2.0389695,2.3890336,0.019966584,2.7523298,2.5777583
66,7.498634,0.073535495,1.8180274,2.1659095,1.7404513,0.02038778,2.752324,2.9821465
67,9.374734,0.07420257,1.8180314,1.640235,2.8440058,0.020213291,2.7523296,2.4941742
68,8.025294,0.07407263,1.818026,1.9713937,2.223778,0.020386357,2.7523243,2.8664014
69,6.6018467,0.0742715,1.8180149,1.8402705,2.034615,0.020363197,2.752354,2.497822
70,8.219585,0.07459129,1.8180232,2.030714,2.1967356,0.02019549,2.7523317,2.8158371
71,8.894018,0.07477812,1.8180252,1.8317938,2.5713336,0.020009777,2.752321,2.493339
72,8.201529,0.07384541,1.8180289,2.1042535,2.239557,0.01995245,2.7523193,2.856299
73,9.164315,0.072979465,1.8180329,1.8506017,2.1191344,0.019834325,2.7523363,2.597262
74,9.442781,0.07370581,1.8180296,1.6995316,2.7384756,0.019966267,2.7523403,2.3539348
75,9.305161,0.07100729,1.8180282,1.738871,3.0183725,0.019448534,2.7523186,2.483767
76,8.46716,0.072364494,1.8180258,1.7558185,1.8689221,0.019942662,2.752331,2.4080873
77,9.075994,0.0715048,1.8180405,1.7229855,2.1233249,0.019227818,2.7523305,2.9390883
78,11.678133,0.07297111,1.8180339,1.3935993,3.28386,0.020174341,2.7523344,2.3743296
79,8.211521,0.07482527,1.8180355,1.6765901,2.4853897,0.019979095,2.7523694,2.1754122
80,7.936418,0.072457284,1.8180335,1.6886857,1.8790724,0.019769253,2.7523372,2.643929
81,10.401191,0.07551307,1.8180294,1.5235075,3.0903986,0.020263685,2.752347,2.5212584
82,10.02008,0.071039,1.8180208,1.7435644,2.678064,0.019437438,2.7523599,2.411424
83,10.03088,0.07552536,1.8180194,1.7275599,2.5168245,0.020238671,2.752378,2.685232
84,9.098389,0.073777944,1.8180095,1.6376079,2.1466846,0.020466063,2.7523758,3.006528
85,9.219051,0.072418556,1.8180127,1.8338832,2.575242,0.019766888,2.7524052,2.6074054
86,8.891942,0.07173595,1.8180157,1.8463868,2.424159,0.019769508,2.7524033,2.5776541
87,9.472581,0.07450412,1.818027,1.780972,2.9124126,0.019988533,2.7523954,2.4083374
88,8.697755,0.07089878,1.8180165,1.7896173,2.9175334,0.019844098,2.7524116,2.7004256
89,7.8123784,0.07499274,1.8180147,2.0960817,2.2526045,0.020520736,2.7524178,2.8095534
90,6.7638216,0.07384866,1.8180267,2.357962,2.4708443,0.020112392,2.752407,2.6716619
91,7.840747,0.07426762,1.818021,2.0085592,1.8595879,0.020255689,2.7523713,3.0487604
92,8.858799,0.07369943,1.8180155,2.012176,2.0936017,0.020035177,2.7523813,2.9245484
93,8.354158,0.073906936,1.8180169,1.9149067,2.4503772,0.020041268,2.7523923,2.5250845
94,6.601449,0.072249554,1.8179986,2.1832898,1.7605823,0.019844064,2.7523787,2.801722
95,7.823891,0.07236748,1.818003,1.70364,2.48641,0.020117935,2.752383,2.309965
96,9.570404,0.07159219,1.8180104,1.8341947,3.0729196,0.019607987,2.7523777,2.482413
97,9.352645,0.07623232,1.8180223,1.6163499,2.320901,0.0205231,2.7523775,2.7770915
98,8.166151,0.07174771,1.8180156,1.9568675,2.1435792,0.019556107,2.7523808,2.7323244
99,9.587682,0.07392772,1.8180162,1.6163932,2.5674057,0.020137405,2.7523997,2.6637785
100,5.705661,0.07155897,1.8180139,1.9397954,1.9985279,0.019616613,2.7524226,2.85537
101,8.413175,0.072468184,1.8180304,1.6321932,3.1821246,0.019799981,2.7524238,2.2751534
102,7.854071,0.072989635,1.8180153,2.0096095,2.2096546,0.019818176,2.7524343,2.7313468
103,6.527459,0.07194862,1.8180195,2.4084876,1.8486235,0.019966949,2.7523983,2.6999204
104,8.897871,0.07420761,1.8180178,2.0811577,1.9631093,0.020053562,2.7523901,3.1158307
105,8.322412,0.07484347,1.8180159,1.8740699,1.9819044,0.020229029,2.752401,2.5554738
106,6.4511833,0.07346908,1.8180078,1.9048597,1.9210881,0.020146843,2.752414,2.679811
