,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,10.317301,0.22111697,1.8775076,1.460088,1.535445,0.11830149,2.793132,2.3050222
1,8.717746,0.22142354,1.8775603,1.8459896,1.578439,0.11788201,2.7932043,2.55469
2,6.1755214,0.21943758,1.87755,2.493812,2.07524,0.117980465,2.7932453,2.045279
3,9.816026,0.22232063,1.8776041,1.6592797,1.015292,0.11960342,2.793212,3.0348208
4,8.105702,0.22404695,1.8775872,1.6406734,1.5602392,0.122693494,2.793315,1.9772168
5,9.324606,0.21837433,1.8776277,1.5671722,0.9933148,0.11943392,2.7935228,2.3227365
6,7.410692,0.21736214,1.8776606,2.0624177,1.4585972,0.1180254,2.7935739,2.2773318
7,9.923927,0.21758094,1.8776461,1.6375675,1.3310409,0.119639,2.7935765,2.7039232
8,10.428243,0.22329392,1.8776704,1.4768761,1.5074291,0.11956708,2.7935812,2.4761117
9,8.384827,0.22074383,1.8777187,1.6661903,1.6731708,0.12089769,2.793654,1.9216785
10,7.7842755,0.21758151,1.8777357,2.0586898,2.2955425,0.1186883,2.7936425,2.2168956
11,8.489241,0.22010534,1.8777573,1.893662,1.8278677,0.12008961,2.7936265,2.5127134
12,7.848137,0.21576682,1.8777527,2.0268877,2.2695174,0.11728591,2.7935972,2.4310386
13,10.294755,0.21898372,1.8777832,1.5853066,1.3398907,0.1191689,2.7937248,2.4493783
14,6.21198,0.22178581,1.877811,2.5297637,2.053248,0.122343004,2.7938216,2.1788192
15,7.5703964,0.21486801,1.8778161,1.7001992,1.2551435,0.1183759,2.79374,1.98096
16,7.284811,0.22075494,1.8778411,2.0368655,1.6118689,0.1222323,2.7938082,2.2175481
17,7.9861393,0.22411017,1.8778225,2.0204535,1.8085194,0.12465038,2.7937508,2.213477
18,9.229474,0.21802984,1.8778633,1.7714043,1.4278897,0.11923661,2.7937698,2.8717732
19,8.215263,0.23632313,1.8779405,2.1269462,1.7975821,0.13015115,2.7939355,2.144344
20,11.238383,0.22492744,1.8779774,1.4126878,1.2591884,0.12430245,2.793913,2.7257013
21,7.887135,0.21268225,1.8779951,1.6965437,1.5319664,0.11881329,2.7939672,2.1884692
22,7.792305,0.22448286,1.878063,2.1463737,1.8801471,0.1242916,2.793909,2.3716183
23,8.035073,0.20730487,1.8780717,1.9790953,1.8535465,0.116537,2.7940133,2.200326
24,9.304871,0.21143778,1.8781161,1.670209,1.3965943,0.11848094,2.7940693,2.6721199
25,10.056459,0.2183214,1.8780962,1.661042,1.4228414,0.121945,2.794137,2.843171
26,9.738821,0.21314344,1.8780986,1.6490582,1.35685,0.12122981,2.79423,2.4815028
27,7.010583,0.22272584,1.8781087,2.2711709,1.9461738,0.123322055,2.7944477,2.3461492
28,10.721135,0.23081872,1.8781383,1.3542849,0.99754816,0.12857787,2.7944462,2.7840102
29,8.290574,0.21781187,1.8781636,1.9124477,1.85916,0.12281104,2.794501,2.450548
30,10.208081,0.22068101,1.8781822,1.6176718,1.3750143,0.12419536,2.7945206,3.01633
31,9.740679,0.21973166,1.8782686,1.6665832,1.3380362,0.1244664,2.7945464,2.4534366
32,8.59043,0.22244103,1.8783216,1.9371086,1.5081866,0.1275277,2.7946556,2.9784925
33,8.684542,0.2205824,1.878383,1.88793,1.7342141,0.1258944,2.7947295,2.4313197
34,8.884675,0.22020334,1.8783398,1.8421831,1.452818,0.12585142,2.7949114,2.5066185
35,9.582302,0.22952911,1.8783634,1.587622,1.5365838,0.127242,2.7949219,2.5736032
36,8.565446,0.22262454,1.8784395,1.816228,1.6865233,0.12745737,2.7950835,2.0089912
37,7.336895,0.21311219,1.8784039,1.7758116,1.5659559,0.124984145,2.7950795,1.9157251
38,8.496907,0.2267223,1.8783737,1.9839855,1.6854825,0.1286442,2.7951133,2.3679795
39,8.274942,0.2260783,1.8784498,1.8592213,1.5683694,0.12904494,2.795208,2.3447142
40,8.54201,0.21742725,1.8784691,2.031053,1.8985778,0.12509027,2.795332,2.5492535
41,7.5502453,0.21815996,1.8784705,2.1145284,2.3708777,0.12649617,2.7953753,2.024073
42,8.746784,0.22428201,1.8785137,1.7188579,1.5693504,0.12941204,2.7954795,2.926798
43,8.304857,0.2265747,1.8785821,1.7732627,1.4869847,0.1321986,2.7954822,2.1864507
44,5.95108,0.2217593,1.8786813,2.3105254,1.4546033,0.12791105,2.7955253,2.026059
45,8.014946,0.2346595,1.8787016,1.9878999,1.3456997,0.13795628,2.7955325,2.685087
46,8.202108,0.22579944,1.8787348,2.110724,1.7036256,0.12914394,2.7956164,2.4626427
47,6.4723363,0.22552606,1.8787553,2.6384745,1.8923604,0.1321186,2.795639,2.313598
48,6.075777,0.22317903,1.8788086,1.9417887,1.5644186,0.13150425,2.7958305,1.6455312
49,8.068745,0.23067203,1.8788439,2.0319982,1.621268,0.1370617,2.7957673,2.1858797
50,8.914174,0.22011885,1.8788689,1.9792078,2.0423064,0.13000329,2.7958128,2.5217156
51,8.3153515,0.21155319,1.8788822,1.654514,1.3870296,0.1281764,2.795708,2.2696483
52,10.000956,0.22133246,1.8788192,1.6053202,1.1729553,0.13063337,2.795829,2.9989386
53,8.404358,0.23005417,1.878817,1.8858293,1.7309815,0.13640688,2.795872,2.3467896
54,10.880621,0.21711002,1.8789359,1.3406546,0.8995895,0.13329896,2.796038,2.9296396
55,6.6697197,0.22817264,1.8789625,2.1281936,1.6184536,0.13709788,2.796178,2.164713
56,8.954125,0.22735757,1.8790556,1.8485734,1.0434133,0.1371425,2.7963076,3.1049674
57,9.083451,0.22335134,1.8790655,1.7734584,1.2635815,0.13643639,2.7965302,2.6871047
58,7.876624,0.23368788,1.8790928,1.9832155,1.5107425,0.14451143,2.7964096,2.4101477
59,10.362579,0.22844534,1.879128,1.5082471,1.1195753,0.13901511,2.7964025,2.949309
60,7.52922,0.22640613,1.8791693,1.7130641,1.6561103,0.14054778,2.7964625,1.9520195
61,8.89161,0.22969809,1.8792719,1.8200626,1.7535851,0.14187321,2.796456,2.5291646
62,7.486437,0.22169979,1.8793209,2.0853517,1.5876102,0.1396352,2.7965996,2.3176978
63,7.2852297,0.2273085,1.8793988,2.1142242,1.7664645,0.143724,2.7967455,2.40056
64,7.0222845,0.22674066,1.8794194,2.1072562,1.8111061,0.14230254,2.7967944,2.1251438
65,10.061951,0.22456443,1.8795025,1.5721115,0.88804287,0.14180884,2.7968726,2.7587228
66,10.276748,0.23154375,1.8795477,1.5373694,1.5792502,0.14711954,2.7969618,2.4451818
67,7.22377,0.2295448,1.8795509,2.2352476,2.059717,0.14792483,2.7969646,2.4234724
68,7.3221145,0.22796823,1.8796053,2.0402339,1.4651874,0.14819217,2.7969398,2.1003277
69,8.391063,0.22303689,1.8797741,1.6349895,1.4754715,0.14566779,2.7970366,2.1280808
70,7.9248085,0.22589082,1.8798308,1.9662586,1.8482347,0.14887324,2.7971265,2.2671669
71,7.4152374,0.22252126,1.8797965,2.026428,1.5546558,0.14361125,2.7971182,2.06567
72,8.47425,0.22758496,1.8798754,1.8994519,1.5122979,0.15143546,2.7971942,2.3474088
73,10.778903,0.22952013,1.8798995,1.4767278,1.2848339,0.14987639,2.7973623,2.4017205
74,9.748392,0.23618501,1.8800149,1.675014,1.40545,0.15525831,2.7972507,2.6274414
75,9.395131,0.2252484,1.8801612,1.7205983,1.6227933,0.15140757,2.7973125,2.2510726
76,9.395817,0.22550952,1.8802404,1.8582878,1.4424508,0.1504714,2.7976065,2.487425
77,8.232818,0.22231773,1.8803508,1.8775533,1.6030387,0.15170093,2.7976713,2.3379397
78,7.6044436,0.22676954,1.8804946,2.171338,1.8569643,0.15508203,2.7976305,2.6680617
79,7.9190855,0.21892604,1.8805254,2.0974076,1.655819,0.15028733,2.7976813,2.3723273
80,9.779537,0.218223,1.880556,1.6006786,1.4770923,0.14919628,2.7979162,2.3942966
