,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,8.533658,0.11521352,1.7824937,1.838648,3.3526878,0.0562284,2.5900311,2.7848945
1,9.272158,0.09992544,1.7824951,1.7025023,3.6681933,0.053758167,2.5900376,2.5615737
2,8.3982725,0.10630004,1.7824969,2.0539193,3.2727802,0.05532124,2.5900538,2.632522
3,9.896854,0.1107762,1.7824901,1.7717643,3.2407925,0.048789844,2.590054,2.7414014
4,8.063327,0.11071158,1.7824931,2.157526,3.2085373,0.04916036,2.5900352,2.917006
5,8.461161,0.10359137,1.7824918,1.8141924,3.2644336,0.054231275,2.5900142,2.6966937
6,9.147859,0.107564904,1.7824932,1.7087313,3.617779,0.05179865,2.590024,2.8099642
7,9.290653,0.1075703,1.7824876,1.6205351,3.6112814,0.05774811,2.5900245,2.6376717
8,10.298031,0.117067486,1.7824873,1.4256897,3.795711,0.06317375,2.5900214,2.3195233
9,10.245847,0.10217933,1.7824883,1.6787274,3.7789264,0.05598707,2.5900474,2.4914694
10,9.8940935,0.11280467,1.7824907,1.6630682,3.5866055,0.05262388,2.590036,2.6040034
11,6.8517385,0.09905562,1.7824926,2.3096762,2.609711,0.04271461,2.590059,3.1237094
12,8.703475,0.10964401,1.782498,1.8320496,3.1292555,0.053774558,2.5900521,2.7654212
13,7.0148463,0.09300468,1.7824959,2.1492965,3.3960884,0.04784143,2.5900378,2.5931845
14,9.213039,0.10399753,1.7824934,1.7429543,2.8166242,0.047367852,2.5900464,2.764412
15,7.955573,0.09912827,1.7824894,1.9387033,4.344978,0.057572007,2.590056,2.419721
16,6.3969274,0.087695815,1.7824954,1.8741423,3.3586838,0.04409436,2.5900507,2.6743424
17,9.305427,0.11570397,1.782492,1.8926052,3.7752984,0.054761954,2.5900702,2.7114654
18,8.497976,0.10207903,1.7824916,1.868428,3.4210944,0.047716018,2.5900784,3.1526823
19,9.861746,0.11284432,1.7824898,1.5308026,3.7113993,0.052762248,2.5900974,2.6192727
20,9.342902,0.10799359,1.7824913,1.7279236,3.841205,0.052732207,2.5901105,2.6152973
21,6.735909,0.09284971,1.7824942,2.278924,2.869525,0.044376776,2.5901136,2.6912766
22,6.454651,0.08704361,1.7824947,1.8457965,3.3801055,0.045688502,2.590123,2.719419
23,6.812346,0.09279259,1.7824945,2.16845,3.1703863,0.04486444,2.590121,2.8408585
24,8.027956,0.09396218,1.7824907,1.6972115,3.277004,0.04809993,2.5901167,2.7164109
25,8.349675,0.09819688,1.7824928,1.8971229,3.6702,0.048893005,2.590131,2.5962577
26,9.863416,0.107625425,1.7824888,1.5358617,4.2887354,0.058283687,2.5901449,2.4511034
27,8.612706,0.10769923,1.7824904,1.7413057,3.323333,0.051179875,2.5901268,2.8384705
28,7.0487504,0.091647506,1.7824886,1.7639437,3.5750098,0.04543721,2.590109,2.5304377
29,7.145851,0.103271745,1.7824922,2.2082276,3.893614,0.048436504,2.5900922,2.818549
30,8.619948,0.10342924,1.7824957,1.9783001,3.601832,0.054982692,2.590093,2.6045926
31,8.392757,0.09962316,1.7824931,1.8547866,4.0012617,0.04917583,2.5900867,2.5709095
32,8.211939,0.10400061,1.7824966,1.8265158,3.4744258,0.052653275,2.5900962,2.6035097
33,11.026002,0.11436248,1.7824885,1.4941478,3.8899956,0.05569731,2.5900965,2.6537712
34,7.9569154,0.09495246,1.782485,1.7042466,3.485524,0.047819108,2.5900755,2.5088322
35,8.312893,0.09884534,1.7824816,1.8372768,3.5720606,0.05248622,2.5900722,2.5882628
36,8.59459,0.09645348,1.7824825,1.8461823,3.2756374,0.045835473,2.590092,2.8698092
37,9.5589,0.10943809,1.7824771,1.5886191,3.5034156,0.052809708,2.5901067,2.7035213
38,9.668944,0.11142925,1.782478,1.7308038,3.3670118,0.053088892,2.5901062,2.7650309
39,8.5257015,0.10740969,1.7824752,2.0852196,3.1939046,0.048401512,2.5901158,2.8157969
40,7.6612935,0.095200315,1.7824725,2.0417328,3.1395268,0.050352704,2.5900989,2.7114315
41,9.229751,0.100465484,1.7824674,1.766077,3.0992846,0.04888103,2.590076,3.0262578
42,8.888002,0.09627847,1.7824708,1.9079188,3.0198805,0.045250192,2.5900686,2.9533029
43,9.95426,0.109450586,1.7824721,1.662729,3.217896,0.051890038,2.5900443,2.587438
44,8.540135,0.116424836,1.7824737,1.7468796,3.0595984,0.048647087,2.5900362,3.0150962
45,8.2575,0.10597806,1.782475,2.0308187,2.742213,0.04579503,2.590017,3.0905201
46,7.539263,0.09976953,1.7824807,1.9656769,3.7553566,0.04958384,2.5900075,2.5813127
47,8.840578,0.10345868,1.7824794,1.8100599,3.4725773,0.051493336,2.5899944,2.7826805
