,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,10.3186,0.1106639,1.9653195,1.5373261,3.0930696,0.045649085,2.7624993,2.1023612
1,8.887303,0.1075416,1.9653074,1.8321192,2.7085238,0.0448064,2.7624588,2.1388617
2,8.127306,0.109334014,1.9653165,1.9386438,3.0704226,0.045183055,2.762409,2.1121294
3,8.444171,0.111290686,1.9652853,2.034639,3.2696621,0.046188585,2.762462,2.2255697
4,9.948029,0.11221559,1.9652692,1.5627198,4.137479,0.045930423,2.7624476,2.032684
5,9.42106,0.11271325,1.9652561,1.8310237,3.7010615,0.045842566,2.7624478,2.1126575
6,9.805982,0.112363905,1.9652405,1.555558,3.9674537,0.045663986,2.7624893,1.9182773
7,7.991057,0.11185235,1.9651984,1.7089691,3.121842,0.046255697,2.7624876,1.8246745
8,9.785673,0.11131001,1.9651991,1.6982671,3.0872216,0.045899797,2.762496,2.1530974
9,9.677388,0.11410998,1.9651868,1.7732263,3.602345,0.047375273,2.7624912,2.0126522
10,7.293738,0.107249364,1.9651983,1.8894161,2.2659175,0.044764325,2.7625003,2.0160577
11,10.1561985,0.11228537,1.9651895,1.7533172,3.5584636,0.046353005,2.762506,2.0074089
12,7.60238,0.10646945,1.9651998,2.2831542,2.9182026,0.044918273,2.7625093,2.151393
13,8.227951,0.11170717,1.9651809,2.2154455,3.6077275,0.04551406,2.7624807,2.0645945
14,6.8324065,0.10741694,1.9652066,1.8531637,2.1277485,0.04462362,2.7624836,2.04235
15,7.770744,0.10687642,1.965203,1.9336718,2.6595676,0.044197965,2.7624614,2.1716113
16,8.344835,0.1108491,1.9651722,2.036373,3.105235,0.045963597,2.7624836,2.1198883
17,10.39139,0.113321,1.9651668,1.5234233,3.4296331,0.046653893,2.7624617,1.8335375
18,11.082577,0.10774983,1.965115,1.5470518,4.658019,0.045101892,2.7625093,1.844563
19,8.956265,0.11334239,1.9651104,1.8796428,3.8457367,0.046673648,2.762545,2.0082092
20,8.741206,0.10932458,1.9651208,1.9394171,2.8165724,0.044018287,2.7625225,2.0564485
21,6.9627175,0.111650564,1.9651157,1.8316208,2.340412,0.046100922,2.7625268,1.995019
22,8.246989,0.11040298,1.9651026,1.6778296,2.8626785,0.04571832,2.762551,1.7869753
23,10.596966,0.11204163,1.965059,1.6002755,3.871695,0.04636041,2.7626076,1.967934
24,10.710651,0.11353766,1.9650493,1.5695765,4.284927,0.04700177,2.7626297,1.7335024
25,9.974704,0.104612514,1.965041,1.6413983,3.8504653,0.04394083,2.7626474,1.9402949
26,9.4685,0.11125989,1.9650449,1.613937,2.8961406,0.046228457,2.7626343,2.0321984
27,7.5657134,0.11240738,1.9650462,2.0919678,2.797287,0.045668967,2.7626572,2.0284624
28,8.555637,0.10998002,1.9650444,1.9047221,3.414139,0.04576211,2.7626686,2.0345576
29,11.1716175,0.11480973,1.9650544,1.4261442,3.8715718,0.046373542,2.762671,1.9806021
30,9.855612,0.11159452,1.9650329,1.5864038,3.855191,0.046170525,2.7626934,1.8309332
31,7.4524336,0.11049232,1.9650297,2.2408862,3.3509293,0.045460917,2.7627122,1.9343033
32,8.27632,0.11187808,1.965021,2.1079571,3.3049848,0.04588003,2.7626705,1.977731
33,10.031582,0.113902524,1.9650234,1.6520951,3.3536909,0.047095142,2.7626631,2.1130197
34,8.581938,0.11100359,1.9650351,2.1137645,3.5429645,0.04540775,2.7626777,1.9550766
