,losses,counter
0,2.3207221031188965,0
1,2.2947609424591064,640
2,2.292868137359619,1280
3,2.2903013229370117,1920
4,2.296306610107422,2560
5,2.29522967338562,3200
6,2.2867374420166016,3840
7,2.291266679763794,4480
8,2.292541027069092,5120
9,2.2833690643310547,5760
10,2.304342269897461,6400
11,2.3077995777130127,7040
12,2.305893898010254,7680
13,2.2968122959136963,8320
14,2.2977705001831055,8960
15,2.30163311958313,9600
16,2.298962116241455,10240
17,2.284122943878174,10880
18,2.283127546310425,11520
19,2.291637420654297,12160
20,2.2994046211242676,12800
21,2.2970104217529297,13440
22,2.2755208015441895,14080
23,2.2849154472351074,14720
24,2.284839391708374,15360
25,2.281158924102783,16000
26,2.278250217437744,16640
27,2.2759995460510254,17280
28,2.2800111770629883,17920
29,2.268801212310791,18560
30,2.261845588684082,19200
31,2.239720106124878,19840
32,2.242480993270874,20480
33,2.2285661697387695,21120
34,2.230487585067749,21760
35,2.214327573776245,22400
36,2.19928240776062,23040
37,2.1697444915771484,23680
38,2.174290657043457,24320
39,2.139258623123169,24960
40,2.1079959869384766,25600
41,2.0575778484344482,26240
42,2.054452419281006,26880
43,2.01204776763916,27520
44,1.9704357385635376,28160
45,1.871889352798462,28800
46,1.8428906202316284,29440
47,1.8338003158569336,30080
48,1.8121538162231445,30720
49,1.650560975074768,31360
50,1.5949057340621948,32000
51,1.5145630836486816,32640
52,1.5151877403259277,33280
53,1.4041297435760498,33920
54,1.3816641569137573,34560
55,1.295116901397705,35200
56,1.2723164558410645,35840
57,1.2225639820098877,36480
58,1.1653590202331543,37120
59,1.1283142566680908,37760
60,0.9152678847312927,38400
61,1.059594750404358,39040
62,0.8972533345222473,39680
63,0.9979126453399658,40320
64,0.911763072013855,40960
65,0.9833210110664368,41600
66,0.8069541454315186,42240
67,0.7724276185035706,42880
68,0.7199668288230896,43520
69,0.5991773009300232,44160
70,0.6675122380256653,44800
71,0.8532453179359436,45440
72,0.6521938443183899,46080
73,0.819064736366272,46720
74,0.6339184641838074,47360
75,0.631281852722168,48000
76,0.6492636203765869,48640
77,0.691162645816803,49280
78,0.46538281440734863,49920
79,0.44054296612739563,50560
80,0.5624371767044067,51200
81,0.6260504722595215,51840
82,0.5138247609138489,52480
83,0.4581388533115387,53120
84,0.5008058547973633,53760
85,0.5265469551086426,54400
86,0.6443943381309509,55040
87,0.437875896692276,55680
88,0.49127066135406494,56320
89,0.46154874563217163,56960
90,0.4918685257434845,57600
91,0.515593409538269,58240
92,0.6806430816650391,58880
93,0.39781439304351807,59520
94,0.4606633186340332,60000
95,0.454704612493515,60640
96,0.41429585218429565,61280
97,0.7395429015159607,61920
98,0.7123275399208069,62560
99,0.5015807747840881,63200
100,0.3721146583557129,63840
101,0.7028233408927917,64480
102,0.41447269916534424,65120
103,0.3911592960357666,65760
104,0.41237545013427734,66400
105,0.3833589553833008,67040
106,0.34266799688339233,67680
107,0.5462726354598999,68320
108,0.4803701639175415,68960
109,0.509901225566864,69600
110,0.34405800700187683,70240
111,0.42684298753738403,70880
112,0.4118543863296509,71520
113,0.43986570835113525,72160
114,0.4729019105434418,72800
115,0.40783101320266724,73440
116,0.41542667150497437,74080
117,0.5366992950439453,74720
118,0.4859396815299988,75360
119,0.325270414352417,76000
120,0.5386172533035278,76640
121,0.511747419834137,77280
122,0.5027564167976379,77920
123,0.2727234661579132,78560
124,0.4011279046535492,79200
125,0.3664534091949463,79840
126,0.3260960578918457,80480
127,0.5829869508743286,81120
128,0.4842912256717682,81760
129,0.5485867261886597,82400
130,0.5349660515785217,83040
131,0.46209317445755005,83680
132,0.3394559621810913,84320
133,0.42293310165405273,84960
134,0.34026750922203064,85600
135,0.30252721905708313,86240
136,0.3922245502471924,86880
137,0.3293426036834717,87520
138,0.31911060214042664,88160
139,0.4321681261062622,88800
140,0.2830421030521393,89440
141,0.20163436233997345,90080
142,0.24209710955619812,90720
143,0.556454598903656,91360
144,0.3717082738876343,92000
145,0.22637099027633667,92640
146,0.2495015263557434,93280
147,0.37504658102989197,93920
148,0.22277888655662537,94560
149,0.1838206648826599,95200
150,0.2718244194984436,95840
151,0.33400627970695496,96480
152,0.37628936767578125,97120
153,0.3004547357559204,97760
154,0.41185128688812256,98400
155,0.4404643476009369,99040
156,0.48719075322151184,99680
157,0.26236692070961,100320
158,0.19465667009353638,100960
159,0.38124096393585205,101600
160,0.3450220227241516,102240
161,0.51026850938797,102880
162,0.24066384136676788,103520
163,0.31827211380004883,104160
164,0.28630566596984863,104800
165,0.2603771388530731,105440
166,0.2841910719871521,106080
167,0.23083049058914185,106720
168,0.4209991693496704,107360
169,0.4197021722793579,108000
170,0.22342725098133087,108640
171,0.32521873712539673,109280
172,0.21116766333580017,109920
173,0.32409051060676575,110560
174,0.20780456066131592,111200
175,0.3352090120315552,111840
176,0.24611632525920868,112480
177,0.5887469053268433,113120
178,0.45784565806388855,113760
179,0.32964059710502625,114400
180,0.3532940447330475,115040
181,0.3632500171661377,115680
182,0.12658639252185822,116320
183,0.3500159978866577,116960
184,0.3742733597755432,117600
185,0.3743476867675781,118240
186,0.16022488474845886,118880
187,0.3672284781932831,119520
